serialNum,property,name,index,lat,lon
1908,ФГБУ УГМС Республики Татарстан,ЧУЛПАНОВО,28704,54.4925,50.41277778
3966,ФГБУ Западно-Сибирское УГМС,Чулым,29625,55.06,80.58
4377,ФГБУ Дальневосточное УГМС,ЧУМИКАН,31286,54.72,135.3
5082,ФГБУ Якутское УГМС,ЧУМПУРУК,24538,64.23,116.92
6037,ФГБУ Якутское УГМС,ЧУРАПЧА,24768,62.03,132.6
1382,ФГБУ Центральное УГМС,ЧУХЛОМА,27157,58.75,42.67
1565,ФГБУ Северное УГМС,ЧУШЕВИЦЫ,22956,60.5,41.75
5083,ФГБУ Якутское УГМС,ЧЮЛЬБЮ,31123,57.76666667,130.9
1638,ФГБУ Верхне-Волжское УГМС,ШАБАЛИНО,27281,58.3,47.12
3766,ФГБУ Среднесибирское УГМС,ШАГОНАР - Р.ЕНИСЕЙ,36089,51.4167,92.7333
2635,ФГБУ Северо-Кавказское УГМС,ШАДЖАТМАЗ,37126,43.73333333,42.66666667
3106,ФГБУ Уральское УГМС,ШАДРИНСК,28552,56.07,63.65
2873,ФГБУ Обь-Иртышское УГМС,ШАИМ - Р.КОНДА,23929,60.32166667,64.21638889
8739,ФГБУ Северо-Кавказское УГМС,ШАЛИ,37238,43.05,45.73333333
3767,ФГБУ Среднесибирское УГМС,ШАЛИНСКОЕ,29578,55.7167,93.75
3107,ФГБУ Уральское УГМС,ШАМАРЫ,28334,57.35,58.22
450,ФГБУ Северное УГМС,ШАНГАЛЫ,22869,61.13,43.35
1909,ФГБУ Приволжское УГМС,ШАРЛЫК,28916,52.93,54.75
1398,ФГБУ Центральное УГМС,ШАРЬЯ,27271,58.37,45.53
2335,ФГБУ Северо-Кавказское УГМС,ШАТОЙ - р. Аргун,37351,42.88333333,45.68333333
3108,ФГБУ Уральское УГМС,ШАТРОВО,28456,56.52,64.65
2772,ФГБУ Северо-Кавказское УГМС,ШАХТЫ,34635,47.70000278,40.28333333
1639,ФГБУ Верхне-Волжское УГМС,ШАХУНЬЯ,27373,57.66,46.63
3468,ФГБУ Западно-Сибирское УГМС,Шебалино,36057,51.18,85.41
