index,h,q
75128,NA,9
75150,NA,9
75151,NA,9
75156,NA,10
75158,NA,2
75168,NA,9
75169,NA,3
75176,NA,9
75190,NA,9
75196,NA,9
75198,NA,10
75200,NA,9
75201,NA,9
75202,NA,10
75203,NA,10
75206,NA,10
75208,NA,10
75209,NA,10
75210,NA,10
75211,NA,10
75217,NA,10
75219,NA,10
75221,NA,10
75222,NA,10
75225,NA,10
75227,NA,10
75235,NA,10
75236,NA,10
75238,NA,10
75239,NA,10
75241,NA,10
75254,NA,10
75257,NA,10
75259,NA,10
75263,NA,10
75265,NA,10
75266,NA,10
75267,NA,10
75271,NA,10
75273,NA,10
75274,NA,10
75280,NA,10
75284,NA,10
75286,NA,10
75287,NA,10
75288,NA,3
75289,NA,10
75290,NA,10
75291,NA,10
75292,NA,10
75293,NA,10
75296,NA,10
75297,NA,10
75299,NA,10
75300,NA,10
75301,NA,10
75303,NA,10
75306,NA,9
75309,NA,9
75311,NA,10
75314,NA,10
75317,NA,10
75320,NA,10
75326,NA,10
75328,NA,10
75332,NA,9
75333,NA,9
75336,NA,9
75337,NA,9
75339,NA,9
75343,NA,9
75348,NA,9
75359,NA,10
75361,NA,10
75367,NA,10
75368,NA,10
75382,NA,10
75387,NA,10
75388,NA,10
75389,NA,10
75394,NA,10
75402,NA,10
75427,NA,10
75428,NA,10
75435,NA,8
75438,NA,8
75453,NA,10
75463,NA,10
75469,NA,10
75472,NA,3
75480,NA,10
75491,NA,10
75497,NA,10
75500,NA,10
75501,NA,10
75503,NA,10
75505,NA,10
75511,NA,10
75512,NA,10
75518,NA,10
75520,NA,10
75521,NA,8
75527,NA,10
75530,NA,10
75536,NA,10
75540,NA,10
75543,NA,10
75547,NA,10
75552,NA,10
75553,NA,10
75561,NA,10
75573,NA,10
75576,NA,10
75579,NA,10
75605,NA,8
75607,NA,10
75608,NA,10
75615,NA,10
75619,NA,10
75624,NA,10
75627,NA,10
75631,NA,10
75635,NA,10
75643,NA,10
75645,NA,10
75646,NA,10
75648,NA,10
75656,NA,10
75658,NA,10
75664,NA,10
75674,NA,10
75676,NA,10
75678,NA,10
75682,NA,10
75683,NA,10
75684,NA,10
75687,NA,10
75692,NA,10
75697,NA,10
75699,NA,10
75701,NA,6
75710,NA,10
75716,NA,9
75718,NA,6
75727,NA,10
75728,NA,10
