"index";"serialNum";"class";"property";"name";"lat";"lon";"f"
80424;218;1;"ФГБУ Центрально-Черноземное УГМС";"ЗАМОСТЬЕ - Р.СУДЖА";51.18;35.28;972
80442;227;1;"ФГБУ Центрально-Черноземное УГМС";"КОЗИНКА - Р.BОРСКЛА";50.47;35.6;1870
80592;207;1;"ФГБУ Центрально-Черноземное УГМС";"БРЯНСК - Р.БОЛBА";53.3;34.33;4340
82001;2444;1;"ФГБУ Северо-Кавказское УГМС";"ГОСТАГАЕВСКАЯ - р. Гостогай";45.03;37.46;106
82005;2510;1;"ФГБУ Северо-Кавказское УГМС";"СВЕТЛЫЙ - р. Адерба";44.53;38.1;59.7
82010;2416;1;"ФГБУ Северо-Кавказское УГМС";"АРХИПО-ОСИПОВКА - р. Вулан";44.38333333;38.55;265
82013;2526;1;"ФГБУ СЦГМС ЧАМ";"ТУАПСЕ - Р.ТУАПСЕ";44.1;39.1;351
82023;2480;1;"ФГБУ СЦГМС ЧАМ";"МАМЕДОВА ЩЕЛЬ - Р.КУАПСЕ";43.95;39.3;14
82026;2516;1;"ФГБУ СЦГМС ЧАМ";"СОЛОХ-АУЛ - Р.ШАХЕ";43.8;39.65;423
82033;2446;1;"ФГБУ СЦГМС ЧАМ";"ДАГОМЫС - Р.ЗАПАДНЫЙ ДАГОМЫС";43.66;39.68;47.1
82034;2502;1;"ФГБУ СЦГМС ЧАМ";"ПЛАСТУНКА - Р.СОЧИ";43.7;39.76;238
82046;2534;1;"ФГБУ СЦГМС ЧАМ";"ХОСТА - Р.ХОСТА";43.51;39.86;98.5
82060;2458;1;"ФГБУ СЦГМС ЧАМ";"КАЗАЧИЙ БРОД - Р.МЗЫМТА";43.5;39.98;839
83061;2478;1;"ФГБУ Северо-Кавказское УГМС";"КУЙБЫШЕВО - р. Миус";47.8;38.91;2450
83063;2482;1;"ФГБУ Северо-Кавказское УГМС";"МАТВЕЕВ КУРГАН - р. Миус";47.56666667;38.86666667;5780
83110;2559;1;"ФГБУ Северо-Кавказское УГМС";"КАНЕВСКАЯ - р. Челбас";46.06666667;38.96666667;4080
83137;2471;1;"ФГБУ Северо-Кавказское УГМС";"КОСТА ХЕТАГУРОВА - р. Кубань";43.82;41.9;3800
83150;2448;1;"ФГБУ Северо-Кавказское УГМС";"ДЕГТЯРЕВСКИЙ - р. Кубань";44.55;41.93333333;7390
83157;2529;1;"ФГБУ Северо-Кавказское УГМС";"УСПЕНСКОЕ - р. Кубань";44.83333333;41.41666667;12800
83174;2479;1;"ФГБУ Северо-Кавказское УГМС";"ЛАДОЖСКАЯ - р. Кубань";45.3;39.93;19800
83207;2535;1;"ФГБУ Северо-Кавказское УГМС";"ХУРЗУК - р. Уллу-Кам";43.43333333;42.13333333;594
83214;2522;1;"ФГБУ Северо-Кавказское УГМС";"ТЕБЕРДА - р. Теберда";43.45;41.73333333;504
83236;2481;1;"ФГБУ Северо-Кавказское УГМС";"МАРУХА - р. Маруха";43.75;41.63;301
83249;2792;1;"ФГБУ Северо-Кавказское УГМС";"ХАСАУТ ГРЕЧЕСКОЕ - р. Аксаут";43.68333333;41.66666667;530
83260;2530;1;"ФГБУ Северо-Кавказское УГМС";"УСТЬ-НЕВИНСКИЙ - р. Невинка";44.53;41.98;602
83262;2558;1;"ФГБУ Северо-Кавказское УГМС";"АРХЫЗ - р. Большой Зеленчук";43.53;41.28;802
83286;2528;1;"ФГБУ Северо-Кавказское УГМС";"УДОБНАЯ - р. Уруп";44.18;41.52;1370
83288;2518;1;"ФГБУ Северо-Кавказское УГМС";"СТЕБЛИЦКИЙ - р. Уруп";44.9;41.15;3190
83307;2459;2;"ФГБУ Северо-Кавказское УГМС";"КАЛАДЖИНСКАЯ - р. Лаба";44.32;40.88;3370
83314;2449;1;"ФГБУ Северо-Кавказское УГМС";"ДОГУЖИЕВ - р. Лаба";45.13333333;39.76666667;12000
83318;2433;1;"ФГБУ Северо-Кавказское УГМС";"БУРНОЕ - р. Малая Лаба";44.01666667;40.71666667;1090
